filename,xmin,ymin,xmax,ymax,angle,xloc,yloc,zloc
000008.txt,884.52,178.31,956.41,240.18,-1.65,8.48,1.75,19.96
000011.txt,649.28,168.1,664.61,206.4,-0.39,2.2,1.57,34.08
000023.txt,372.95,182.64,412.21,205.68,1.86,-16.57,2.43,55.08
000024.txt,443.6,168.03,480.35,195.69,-1.67,-7.78,0.51,38.09
000024.txt,427.54,165.14,455.37,185.51,-1.65,-12.08,0.0,52.01
000025.txt,650.19,175.43,659.99,205.2,1.6,2.77,1.98,44.63
000031.txt,334.28,180.65,490.02,297.48,-1.35,-3.18,1.79,12.2
000032.txt,780.93,147.56,917.34,199.48,-0.31,12.82,1.38,39.04
000039.txt,114.51,193.47,466.61,374.0,1.9,-2.7,1.73,7.17
000039.txt,561.27,178.49,585.9,201.02,1.58,-2.47,1.85,48.95
000043.txt,719.54,160.0,745.42,229.67,1.09,3.32,1.56,20.3
000044.txt,378.01,183.98,507.17,276.44,1.79,-3.11,1.75,13.93
000048.txt,453.2,159.81,482.53,241.31,-1.42,-3.22,1.31,16.26
000049.txt,0.0,170.48,111.64,240.66,2.23,-14.04,1.5,17.43
000050.txt,641.55,172.79,681.44,206.29,-1.58,2.22,1.4,31.72
000058.txt,410.27,163.81,498.68,327.03,-2.94,-1.56,1.45,7.29
000059.txt,558.06,180.83,599.17,213.45,-1.56,-1.33,1.6,30.01
000061.txt,0.0,212.28,41.28,328.12,1.66,-9.76,2.12,10.93
000061.txt,884.04,123.51,923.63,169.76,-1.55,16.49,-0.21,40.44
000062.txt,502.22,185.85,574.38,229.91,1.82,-2.63,1.99,27.12
000062.txt,602.85,184.1,638.97,209.35,1.71,0.67,2.11,43.31
000064.txt,657.65,179.93,709.86,219.92,-1.7,2.65,1.65,26.82
000067.txt,671.83,174.3,702.61,195.46,-1.45,5.12,1.44,47.66
000069.txt,501.21,177.91,556.47,194.32,0.21,-7.02,1.82,62.51
000072.txt,590.87,174.23,629.98,213.19,-1.57,-0.01,1.71,32.6
000073.txt,535.68,174.41,549.63,214.38,-2.02,-2.86,1.68,29.55
000075.txt,611.24,182.17,671.77,222.71,1.83,1.26,1.85,28.33
000079.txt,357.22,182.05,567.87,301.78,-1.08,-2.04,1.61,10.74
000079.txt,0.0,183.03,326.6,330.77,-0.7,-6.07,1.67,9.82
000079.txt,590.5,158.43,650.51,188.63,1.22,1.05,1.9,90.09
000080.txt,589.68,172.46,633.43,216.04,-1.57,0.02,1.64,29.39
000083.txt,368.92,183.19,504.02,279.22,-1.35,-2.74,1.45,12.45
000087.txt,560.17,171.53,569.17,196.85,-0.28,-3.11,1.64,49.54
000092.txt,359.95,187.35,456.4,240.78,2.01,-6.52,2.06,23.56
000093.txt,246.99,194.92,425.43,297.77,1.94,-4.46,1.81,12.2
000093.txt,550.61,176.8,587.13,202.37,1.72,-2.47,1.72,43.68
000096.txt,639.45,187.58,879.59,275.73,-0.41,2.62,1.69,13.09
000097.txt,536.07,176.04,569.72,194.78,1.85,-4.6,1.73,58.47
000098.txt,744.38,186.34,780.79,207.95,-1.3,10.66,1.49,49.41
